Genes;ProteinAccessions;ProteinDescriptions;log2 daf2_d1_01;log2 daf2_d1_02;log2 daf2_d1_03;log2 daf2_d1_04;log2 N2_d1_01;log2 N2_d1_02;log2 N2_d1_03;log2 N2_d1_04; -Log.p.value;Student's T-test q-value daf2_d1_N2_d1;log2FC;Student's T-test Test statistic daf2_d1_N2_d1;Sign p-val: 0.05 
C44C10,9;A4UVK2;Uncharacterized protein;15,1902;14,5167;15,212;14,454;14,1886;14,2101;14,3073;14,3652;1,46323;0,0243301;0,575428;2,72493;+
CELE_F14D7,12;A4UVK9;Uncharacterized protein;12,9113;12,0042;12,782;12,9307;14,1236;12,8066;14,2791;16,9308;1,09783;0,0541756;-1,87799;-2,10584;
CELE_D1086,17;A4UVL1;Uncharacterized protein;11,0698;10,7264;10,7121;10,7648;12,3931;12,0283;12,3626;12,4447;4,63788;0;-1,48892;-11,7427;+
"CELE_W06G6,15;CELE_Y70C5B,2";"A4UVL9;G5EG48";Uncharacterized protein;12,7203;12,6388;12,7956;11,736;12,0945;11,9526;12,2859;12,9974;0,158618;0,610627;0,140071;0,412891;
CELE_Y71F9AR,4;A4UZ35;Uncharacterized protein;13,1601;13,6086;12,8662;13,4453;11,4946;12,668;12,8227;11,3493;1,52908;0,021216;1,18639;2,8398;+
CELE_Y47G6A,33;A5A8P5;Uncharacterized protein;15,6256;15,8359;15,3576;15,225;15,886;16,0881;16,1074;16,4014;1,90469;0,00954182;-0,609685;-3,52426;+
CELE_ZK813,7;A5HU91;Uncharacterized protein;17,8415;17,9864;17,8462;17,6544;16,4209;15,4916;14,1158;16,6534;2,01071;0,00763329;2,16171;3,72828;+
CELE_T28A11,2;A5HU97;Uncharacterized protein;14,0736;13,6944;13,9573;14,3946;15,2786;14,9213;15,2094;15,2847;3,29913;0,00103145;-1,14349;-6,78285;+
guk-1;"A5HU98;P91425";GUanylate Kinase;16,5998;16,5146;16,4876;16,1897;15,9845;16,1979;16,1398;16,0946;1,8569;0,0101439;0,343722;3,434;+
CELE_Y53C10A,6;"A5HWA4;Q9XW51";Uncharacterized protein;10,9374;10,7436;10,7154;10,7589;10,2654;11,2035;11,257;10,3809;0,0153247;0,949765;0,0121393;0,0453123;
CELE_Y48C3A,18;"A5HWA9;G2HK06;Q9NAF8";Uncharacterized protein;11,0432;10,599;10,7511;10,7269;12,2969;12,4001;12,8513;12,904;4,27078;0;-1,83303;-10,1366;+
CELE_Y39B6A,3;"A5HWB2;Q9NES9";Uncharacterized protein;14,1434;14,1578;14,2195;14,6301;13,5914;13,5708;13,474;14,2635;1,40172;0,0271908;0,562807;2,61874;+
dab-1;"A5JYR4;Q8I4G9;Q8I4H0;Q9U3A6";DAB (Drosophila disabled) homolog;14,1256;14,4991;14,5643;14,6989;14,2297;14,2801;14,4464;14,5165;0,312481;0,397575;0,10378;0,740435;
CELE_F25H8,1;"A5JYS8;Q19789";Uncharacterized protein;13,3366;11,8957;12,4142;12,8967;14,4923;13,6965;13,469;14,0493;1,82651;0,0106651;-1,29097;-3,37713;+
swsn-9;"A5JYT2;Q17581";SWI/SNF nucleosome remodeling complex component;13,474;13,4911;13,3346;13,9429;13,0938;13,4431;13,4506;13,3054;0,745893;0,129114;0,23742;1,5192;
CELE_ZC434,7;A5JYU1;Uncharacterized protein;13,552;13,8637;13,7331;13,7471;13,178;12,5662;12,727;13,0425;2,8074;0,00188158;0,845562;5,46986;+
rad-50;"A5JYU5;O44199";"Uncharacterized protein;DNA repair protein rad-50";10,9721;10,6103;10,7281;10,8314;8,2136;11,2991;12,0417;10,3254;0,143781;0,639356;0,31548;0,378405;
C25F9,11;A5JYW3;Uncharacterized protein;13,4741;13,3233;13,2217;13,7609;12,7723;15,9069;15,7317;13,7496;0,683524;0,151605;-1,09511;-1,41346;
sin-3;A5JYW9;Paired amphipathic helix protein sin-3;13,187;11,6217;15,2142;13,0748;12,7658;11,2803;11,6526;12,6792;0,692094;0,148293;1,17995;1,42806;
hmp-1;"A5JYX3;I7J4D2;I7K4K5;I7LFF2;P90947";"HuMPback (Dorsal lumps);HuMPback (Dorsal lumps);HuMPback (Dorsal lumps);HuMPback (Dorsal lumps);Alpha-catenin-like protein hmp-1";15,0707;16,247;16,4734;14,7152;15,4073;15,6288;15,6941;15,3812;0,0810949;0,773745;0,098702;0,2247;
dhs-3;A5JYX4;DeHydrogenases, Short chain;16,9409;16,7647;16,7677;16,7128;16,3399;16,3486;16,5119;16,5189;2,70716;0,00217957;0,366663;5,22711;+
nra-2;"A5JYX8;O18033";Nicalin;14,7414;14,776;14,5038;14,5177;15,0574;14,8279;14,9195;14,649;1,06082;0,0587917;-0,228698;-2,04425;
CELE_Y37H2A,14;A5PEY0;Uncharacterized protein;12,7057;12,8296;12,8398;12,2515;14,3593;12,5944;13,1906;13,153;0,845471;0,101216;-0,667622;-1,68619;
CELE_F27E5,7;A5Z2S2;Uncharacterized protein;13,6331;13,4758;12,3074;13,6437;14,1489;13,4646;13,5682;14,2417;0,772982;0,120476;-0,590865;-1,56482;
saps-1;"A5Z2S4;B2D6K9;Q18696";SAPS (Phosphatase associated) domain protein;14,3216;13,8438;13,6291;13,6957;13,9408;14,2913;14,0402;14,0357;0,548307;0,212392;-0,204418;-1,17924;
CELE_ZK809,8;A5Z2S9;Uncharacterized protein;13,1543;12,576;12,2292;12,4502;10,0039;9,85719;9,76661;9,87878;4,97112;0;2,72579;13,4016;+
CELE_D1081,7;A5Z2T6;Uncharacterized protein;13,252;12,1051;12,8852;12,5483;12,8055;12,3297;11,9239;12,9526;0,232082;0,496393;0,194727;0,575257;
aph-2;"A5Z2T7;Q23316";"Uncharacterized protein;Nicastrin";13,3522;12,0507;10,9389;13,0104;12,1691;11,8876;13,1068;9,72659;0,285654;0,427454;0,615561;0,686526;
CELE_F15B9,10;"A5Z2T9;I2HA81";Uncharacterized protein;14,1555;14,3339;14,627;14,3633;14,6877;13,995;14,1269;13,9099;0,421097;0,296706;0,190035;0,949065;
C27A7,5;"A5Z2U5;A5Z2U6;P90758;Q9U3P0";Uncharacterized protein;12,4841;12,9282;12,6733;13,0203;13,0158;13,659;13,4456;13,065;1,41524;0,0264727;-0,519867;-2,64199;+
CELE_F30A10,13;"A5Z2U8;Q2XMZ1";Uncharacterized protein;13,9482;13,6368;13,5306;13,0255;13,3899;13,104;12,9573;13,2729;0,827769;0,105592;0,354278;1,65663;
CELE_F30A10,14;A5Z2U9;Uncharacterized protein;13,8644;13,9001;13,7352;14,0697;13,8963;14,5468;14,2609;14,2262;1,19573;0,0444897;-0,340207;-2,26941;+
C04H5,7;A5Z2V2;Uncharacterized protein;12,201;12,6418;12,621;12,8181;12,1988;12,0401;12,1341;12,3346;1,46013;0,0245534;0,393567;2,71955;+
C13B4,1;"A5Z2V3;O45247";Uncharacterized protein;13,2131;12,9238;12,6891;13,3037;12,7224;11,1998;11,8868;12,2042;1,59611;0,018114;1,02914;2,95812;+
CELE_F02E9,10;A5Z2V7;Uncharacterized protein;13,7785;13,9841;13,231;14,028;12,9656;13,2166;13,3601;12,7306;1,61404;0,0173905;0,687165;2,99001;+
CELE_R13H4,2;A5Z2W3;Uncharacterized protein;13,4987;13,3026;15,2309;13,162;15,8669;15,4715;15,7473;16,073;2,14477;0,00575943;-1,99113;-3,99432;+
CELE_ZK228,4;"A5Z2W6;K8FDY8;O46010";Uncharacterized protein;13,3276;12,8095;13,3328;13,4258;13,6659;15,5929;13,014;14,0352;0,740002;0,131204;-0,853075;-1,50926;
CELE_K02B7,3;"A5Z2W7;O45637";Uncharacterized protein;15,3166;15,5945;15,5352;15,5535;15,4842;15,9717;15,8603;16,0683;1,2928;0,034967;-0,346168;-2,43297;+
nuo-3;A5Z2X2;NADH Ubiquinone Oxidoreductase;14,9476;14,6438;13,794;14,5605;14,6403;14,6561;14,3871;13,9839;0,0867612;0,759891;0,0696647;0,239196;
C44E4,5;A6PVA1;Uncharacterized protein;12,2093;12,8376;12,8926;12,3777;13,0856;13,6019;13,0804;13,2907;1,77603;0,0118053;-0,685372;-3,28354;+
CELE_F49E2,2;"A6ZJ46;Q20621";Uncharacterized protein;14,9962;14,738;14,7141;14,4689;14,9222;14,5115;14,6558;14,7803;0,0293193;0,90825;0,0118601;0,0854047;
T07A5,7;A6ZJ55;Uncharacterized protein T07A5,7;15,466;14,5943;14,839;14,029;16,7599;16,6278;15,9673;16,8248;2,64475;0,0022297;-1,81286;-5,07982;+
CELE_T04F8,7;"A6ZJ59;Q22166";Uncharacterized protein;13,8782;13,4211;13,6128;13,867;14,6368;14,4419;14,7348;14,3996;3,13771;0,0011405;-0,858515;-6,32791;+
"gpb5;CELE_T23B12,8";"A7DT38;G5EEJ3";"Putative glycoprotein hormone-beta5;Glycoprotein hormone beta 5";10,7624;10,419;10,6895;10,3945;9,99526;9,93861;9,95365;9,92834;3,18983;0,00109353;0,612395;6,47209;+
CELE_F49D11,10;A7DT40;Uncharacterized protein;13,9478;14,2657;14,24;14,3678;15,3927;15,2793;15,3868;15,34;4,73057;0;-1,14438;-12,1837;+
oxy-5;A7DT45;Uncharacterized protein;17,4948;17,2857;17,2052;17,9088;18,0946;17,3907;17,1208;17,5382;0,0876738;0,757707;-0,0624657;-0,241518;
mrg-1;"A7DTF0;Q9XWW2";MRG (Mortality factor-Related Gene) related;15,3223;15,1584;15,1985;15,1915;15,3139;15,1146;15,3598;15,1187;0,0427811;0,871366;-0,00904989;-0,122914;
obr-1;"A7DTF2;G2HK04;Q95Q23;Q9U2C7";Oxysterol-binding protein;11,0492;10,7062;10,6238;10,5307;13,3456;12,3222;12,7199;12,8299;3,88987;0,000515152;-2,07688;-8,6822;+
igcm-3;"A7LPD6;Q22096";ImmunoGlobulin-like Cell adhesion Molecule family;13,7174;13,5886;13,2598;12,9549;13,0148;13,3857;13,068;12,8401;0,718465;0,138138;0,303015;1,47284;
unc-16;"A7LPE4;C0P271;P34609";"Uncharacterized protein;Uncharacterized protein;JNK-interacting protein";13,1145;12,9692;12,7061;12,6746;12,3277;12,9536;12,9791;12,8507;0,186308;0,561509;0,0883372;0,475619;
gpdh-2;"A7LPE6;P34517;Q7JMU1";"Glycerol-3-phosphate dehydrogenase [NAD(+)];Probable glycerol-3-phosphate dehydrogenase 2;Glycerol-3-phosphate dehydrogenase [NAD(+)]";18,0555;17,834;18,2106;17,7454;17,6922;17,6101;17,6925;17,6092;1,54428;0,0204863;0,310392;2,86649;+
sly-1;"A7LPF3;Q20364";SLY1 homolog;14,0864;14,436;14,2718;14,3005;14,4503;14,5752;14,8006;14,4731;1,50537;0,0222231;-0,30112;-2,7983;+
B0393,9;A7LPF5;Uncharacterized protein;15,2155;15,1101;14,9456;14,9085;13,3019;14,9448;14,5423;13,4613;1,2733;0,0366026;0,982363;2,39998;+
cisd-1;"A7LPG5;Q5FC71";CDGSH Iron Sulfur Domain protein homolog;18,6432;18,2269;18,4732;17,9192;17,8053;18,3354;18,1713;18,1231;0,489695;0,247778;0,206882;1,07469;
CELE_F09E8,2;A7LPH5;Uncharacterized protein;14,1795;13,7306;13,9281;14,3406;14,458;14,2843;14,1791;14,6819;1,06278;0,0586947;-0,356128;-2,04751;
lsy-22;"A7LPI4;Q93616";Uncharacterized protein;14,3953;14,0322;13,9197;14,0495;13,377;13,2583;13,2143;13,1283;3,51277;0,000603636;0,854748;7,42492;+
C24H11,5;A7LPI7;Uncharacterized protein;13,644;13,6715;13,4762;12,9892;12,4559;13,2339;12,8121;12,9305;1,3932;0,02775;0,587112;2,6041;+
CELE_F10A3,17;A7LPJ5;Uncharacterized protein;14,9793;14,781;14,7792;14,5743;13,1422;14,7696;14,1531;15,1806;0,468279;0,263192;0,467062;1,03588;
pnc-1;"A7WK39;Q9N426";Pyrazinamidase and NiCotinamidase;14,695;14,4949;13,4953;14,2289;14,7789;14,7761;14,3224;15,038;0,829163;0,105193;-0,500345;-1,65895;
CELE_Y94H6A,12;A7WK43;Uncharacterized protein;10,8975;10,7117;10,6244;10,6808;11,6805;11,4467;11,5949;12,0279;3,3771;0,000881579;-0,958922;-7,01169;+
CELE_F56C9,6;"A8WFF4;H2KY87;H2KY89";Uncharacterized protein;14,7381;14,876;15,3822;14,5868;14,0667;13,6587;13,8529;13,7281;2,81936;0,00189613;1,06919;5,49934;+
"CELE_T28D9,4;T28D9,4";"A8WFI3;Q10023";"Uncharacterized protein;Uncharacterized protein T28D9,4";14,4001;14,347;14,2851;14,17;12,9984;13,6995;13,7932;13,8411;1,90833;0,00940876;0,717485;3,53117;+
C28G1,5;A8WFJ8;Uncharacterized protein;13,9695;13,779;14,0849;14,4343;14,4773;13,8987;13,9844;14,0987;0,0930062;0,7447;-0,0478799;-0,255021;
gpx-7;A8WFK6;Glutathione peroxidase;13,5858;13,5105;13,5996;13,4334;14,358;14,1993;14,0155;14,3187;3,70196;0,00043129;-0,690547;-8,03475;+
CELE_F41D9,2;"A8WFM5;H2KZN7";Uncharacterized protein;15,1638;14,78;14,9172;14,4964;14,8643;15,0976;15,0492;15,2909;0,696611;0,1465;-0,236153;-1,43574;
CELE_T04F8,8;"A8WHM5;Q22168";Uncharacterized protein;16,3995;16,2506;15,8983;15,5812;13,8098;13,2427;13,1213;14,5437;3,13014;0,00113269;2,35304;6,30717;+
CELE_ZK856,16;A8WHN5;Uncharacterized protein;14,6105;13,9262;14,3213;15,032;12,9929;13,4236;13,5214;14,529;1,11756;0,0519292;0,855745;2,13873;
CELE_F23B12,4;A8WHS3;Uncharacterized protein;15,0211;14,3646;14,8787;14,5395;13,4876;14,3685;14,5362;12,8898;1,10852;0,0530366;0,880475;2,12364;
CELE_K09A9,6;"A8WHT8;A8WHT9;G5EEF4";Uncharacterized protein;13,1505;13,7095;13,5203;13,456;13,1426;12,309;12,4836;13,1397;1,50375;0,0223689;0,690355;2,79547;+
CELE_H14N18,4;"A8WIT0;H2L0B7";Uncharacterized protein;11,1903;12,5758;12,2474;12,8934;11,4303;11,1645;11,5609;10,6135;1,29291;0,0349816;1,03447;2,43315;+
CELE_T12B5,15;A8WJ47;Uncharacterized protein;12,7115;13,5679;13,0404;14,2705;11,2055;12,5851;11,7492;13,8229;0,789574;0,116062;1,0569;1,59268;
CELE_Y17G7B,20;"A8XJ46;A8XJ47;H2KMJ1;H2KMJ2;Q8I4E8";Uncharacterized protein;12,9785;12,9381;12,4669;13,1314;9,85731;9,87799;9,90167;9,61092;5,9072;0;3,06677;19,3372;+
CELE_E01A2,1;"A9CZN9;Q966L2";Uncharacterized protein;14,022;14,0249;13,6116;13,3781;13,7286;13,9444;13,2135;13,2037;0,428568;0,291367;0,236585;0,962944;
CELE_T02H6,1;A9D0C6;Uncharacterized protein;14,1397;13,6495;13,7438;13,6861;14,5863;14,1016;14,1741;14,8389;1,61035;0,017565;-0,620437;-2,98344;+
CELE_Y37E3,11;"A9D2X7;Q9BKU2;X5LPX5";Uncharacterized protein;15,3855;15,4338;15,3519;15,6178;14,7166;14,5037;15,031;15,1267;2,08938;0,00621089;0,60276;3,88325;+
CELE_M03F8,3;"A9D4S6;O16376";Uncharacterized protein;13,5188;13,5085;13,326;12,9378;14,6944;14,743;14,4499;14,3389;3,50456;0,000592857;-1,23375;-7,39935;+
CELE_F55B12,10;A9QY28;Uncharacterized protein;16,3103;15,348;16,0219;16,001;14,5527;14,3034;13,9385;12,1016;2,00314;0,00765307;2,19621;3,71353;+
pptr-2;"A9UJN4;H9G2X3;Q17948";Protein Phosphatase 2A (Two A) Regulatory subunit;14,5366;14,4084;14,2659;14,2909;14,2601;14,5078;14,3429;14,2287;0,179657;0,57283;0,0405724;0,460735;
maph-1,2;A9UJN7;Microtubule-Associated Protein Homolog;15,2624;15,2391;15,3012;15,3769;15,0371;15,2104;15,3788;14,8064;0,723217;0,136558;0,186702;1,48088;
CELE_K09G1,1;"A9UJP1;D9N146;D9N147";Uncharacterized protein;13,5487;13,4959;13,4155;12,2788;13,9074;12,9143;12,9731;13,9855;0,253511;0,467678;-0,26036;-0,620391;
B0303,7;"A9Z1J8;P34258";"Uncharacterized protein;Uncharacterized protein B0303,7";13,6323;13,1551;13,6418;12,5017;14,6485;14,0339;12,7628;14,2114;0,67681;0,153732;-0,681445;-1,40201;
C23H3,3;A9Z1L6;Uncharacterized protein;13,386;13,8413;13,6312;14,1013;14,3149;14,3413;14,4969;14,2052;1,97768;0,00796183;-0,59963;-3,66415;+
C17C3,1;"B0M0L9;H2KYT6;Q9BIA9";Uncharacterized protein;13,9212;13,7297;14,0825;14,0016;14,6908;14,7183;14,6748;14,7192;4,24879;0;-0,767038;-10,047;+
glna-1;"B0M0N9;B0M0P0;B6VQ90;H2L2H2;H2L2H3;U4PRW7";GLutamiNAse;14,3243;13,4045;13,541;14,4802;11,9353;12,9477;11,405;13,1833;1,69688;0,0145554;1,56967;3,13889;+
CELE_Y61A9LA,11;"B1GRJ8;H2L073";Uncharacterized protein;12,3233;12,5652;10,562;12,513;13,288;12,6681;12,3175;12,5312;0,651919;0,164158;-0,710313;-1,35941;
CELE_F41E6,5;"B1GRK5;O16457";Uncharacterized protein;13,5182;14,1879;13,5641;13,3849;15,3765;12,9364;12,7312;13,3244;0,0392208;0,881382;0,0716026;0,113089;
CELE_T25B2,2;"B1GRL0;H2KZ75";Uncharacterized protein;14,3139;14,0676;13,384;13,8438;13,5756;14,0091;13,9469;13,6654;0,179382;0,573326;0,103112;0,460118;
trpp-1;B1GRL5;TRansport Protein Particle;11,5468;12,0543;12,109;12,0444;12,403;11,6782;11,9675;13,1933;0,474633;0,258791;-0,371861;-1,04743;
tsp-10;"B1Q241;H2KYX1";TetraSPanin family;11,0296;10,5724;10,9716;10,8374;12,9234;12,5222;12,8279;12,2444;4,14013;0;-1,77673;-9,61497;+
ugt-26;"B1Q250;H2KYQ0";UDP-glucuronosyltransferase;14,2374;14,4072;14,2201;14,3813;14,644;14,7264;14,9209;14,7448;2,98496;0,00176744;-0,447512;-5,91951;+
C14H10,3;B1Q254;Uncharacterized protein;14,5629;14,0832;14,3098;14,0185;14,1806;14,1045;14,1304;13,9731;0,513269;0,233066;0,14645;1,11701;
CELE_D1086,10;"B1Q273;Q5FC40";Uncharacterized protein;19,0606;18,6365;18,5932;17,9868;19,0112;19,0841;18,8536;20,0424;1,00319;0,0678018;-0,678535;-1,94847;
poml-3;B1V898;PON (Paraoxonase) and MEC-6 Like;15,0236;14,8729;15,2785;14,8224;14,4277;14,2755;13,9416;14,6743;1,96127;0,00818927;0,66957;3,63248;+
unc-57;B1V8A0;Endophilin-A homolog;15,8508;15,5103;15,6409;15,7983;15,4671;15,1045;15,2389;15,7581;0,969589;0,0736706;0,30794;1,89268;
szy-20;"B2D6L4;D2KT99;G5EEB4;G5EGU9;Q18094;Q565A8;Q9XVV8";"Suppressor of ZYg-1;Suppressor of ZYg-1;SZY-20B;SZY-20A;Suppressor of ZYg-1;Suppressor of ZYg-1;Suppressor of ZYg-1";14,7523;14,5845;14,966;14,3452;14,5756;14,2856;15,2343;14,0836;0,159003;0,609732;0,117228;0,413777;
CELE_T06E4,14;B2D6L8;Uncharacterized protein;13,6381;11,9806;12,187;12,5953;9,60603;9,85538;9,96232;9,82036;3,50891;0,000598198;2,78921;7,41289;+
CELE_F13G3,10;B2D6L9;Uncharacterized protein;11,0535;10,654;10,7677;10,7712;16,3229;15,3463;15,2767;15,8685;5,84263;0;-4,89198;-18,8571;+
rmd-2;B2D6P1;Regulator of Microtubule Dynamics;17,048;16,6238;16,6206;16,4927;15,3707;15,3243;15,4278;15,7313;3,72501;0,000442516;1,23273;8,11188;+
smc-3;B2FDA8;Structural maintenance of chromosomes protein 3;14,1992;14,0961;14,3852;14,2033;14,4188;14,4406;14,2699;14,549;1,2668;0,0370683;-0,19862;-2,389;+
ntl-2;"B2MZA9;Q10923;Q95QZ3;Q95QZ4";NOT-Like (Yeast CCR4/NOT complex component);14,3545;13,5404;13,7936;14,1143;14,214;13,8943;13,7265;13,962;0,00241168;0,991641;0,00148511;0,00723452;
gcn-1;B3CJ34;GCN (Yeast General Control Nondrepressible) homolog;15,9975;15,9046;15,9043;16,004;16,0712;16,36;16,2725;16,4357;2,13901;0,00578313;-0,332237;-3,98269;+
urm-1;B3CKG1;Ubiquitin-related modifier 1 homolog;16,5223;16,365;16,2912;16,2962;17,4415;17,3722;17,3423;17,4593;5,58657;0;-1,03514;-17,0649;+
nono-1;B3GWA1;NONO (Conserved nuclear protein, aka PSF) homolog;16,0672;15,7803;15,941;15,8021;15,4462;15,6163;15,5342;15,257;2,27264;0,0042677;0,434223;4,25718;+
atf-7;"B3GWA6;Q17801;Q86MD3;Q9U3R1";ATF (cAMP-dependent transcription factor) family;12,1542;11,5851;12,4554;11,7655;10,6546;10,8814;10,5085;11,3664;2,24473;0,00462538;1,1373;4,19901;+
vps-26;"B3GWB9;L8E6W6;L8E917;O01258";"Related to yeast Vacuolar Protein Sorting factor;Related to yeast Vacuolar Protein Sorting factor;Related to yeast Vacuolar Protein Sorting factor;Vacuolar protein sorting-associated protein 26";14,0937;13,8686;13,8968;14,1038;14,3065;15,4272;14,8972;14,6155;1,8039;0,0113364;-0,82089;-3,33509;+
ndx-9;"B3GWC0;Q19427";"NuDiX family;NADH pyrophosphatase";14,7006;14,5652;14,6398;14,4495;15,1375;14,8531;14,9049;14,874;2,21997;0,00487463;-0,35356;-4,14778;+
C14F11,4;B3WFT8;Uncharacterized protein;16,2963;16,124;16,1602;16,1137;17,2075;16,8153;16,9587;17,0409;3,98782;0,00026087;-0,832053;-9,0373;+
abts-1;"B3WFV9;G5EC65;G5EDF4";Anion exchange protein;14,9569;15,1018;14,9727;15,2814;15,0193;15,2007;15,0953;14,9414;0,0528391;0,844179;0,0140202;0,150313;
CELE_ZK858,6;"B3WFW5;Q7YTF9";Transmembrane 9 superfamily member;14,5469;14,8052;15,0242;15,1452;14,7419;14,9481;14,9253;14,8074;0,0625023;0,818959;0,024725;0,176165;
C41G7,9;B3WFW9;Uncharacterized protein;18,0534;17,7467;18,1292;17,5874;17,9506;16,4176;17,1945;17,3637;0,97404;0,0726162;0,647587;1,90007;
lin-10;"B3WFX4;O17583";"Uncharacterized protein;Protein lin-10";13,1888;13,3974;13,6139;13,3455;14,5686;14,6224;14,1706;14,4257;3,66801;0,000417178;-1,06038;-7,9223;+
CELE_M04C9,3;"B3WFY7;P90933";Uncharacterized protein;13,6648;14,3612;13,743;12,9402;13,8784;14,2127;14,2595;12,0472;0,0453129;0,864078;0,0778673;0,129859;
C31H5,6;B3WFZ3;Uncharacterized protein;15,0567;14,0759;13,9081;13,3779;12,5636;14,4135;13,7261;12,658;0,646752;0,165957;0,764325;1,35054;
CELE_ZK355,8;B4DCT1;Uncharacterized protein;17,1943;17,1733;17,1351;17,1767;13,0473;13,7308;12,7778;12,7471;5,70737;0;4,09408;17,8888;+
spds-1;"B4E3X6;G5EFG3";SPermiDine Synthase;14,9413;15,2559;14,8876;14,0936;15,0755;15,3035;15,4492;15,3802;1,00358;0,0677454;-0,507465;-1,94913;
nxf-1;"B5BM32;Q9XVS7";"Nuclear eXport Factor;Nuclear RNA export factor 1";14,9338;14,4403;14,5966;14,5602;15,3116;14,861;15,1002;15,1488;1,81383;0,0110418;-0,472678;-3,35353;+
CELE_F38A6,5;B5BM45;Uncharacterized protein;12,4959;12,6887;13,2726;12,5096;11,6219;12,1587;12,1324;12,193;1,70247;0,0143755;0,715204;3,14901;+
CELE_T03D8,6;"B5BM47;Q9XTY7";Uncharacterized protein;14,7634;14,6414;14,6748;14,5718;14,2211;13,8628;13,8523;13,6732;3,11236;0,00136364;0,760515;6,25869;+
ret-1;B5U8N2;Reticulon-like protein;16,2783;16,0695;16,1009;15,9884;15,6082;15,522;15,0505;16,0339;1,4124;0,0266405;0,555585;2,63711;+
CELE_D1086,12;"B5U8P0;Q5FC37;Q5FC38";Uncharacterized protein;14,0207;13,4326;13,0335;12,7755;12,5471;12,7483;13,0072;12,9997;0,837831;0,103023;0,490017;1,67344;
CELE_F52C12,6;B5WWL2;Uncharacterized protein;13,4759;13,3975;13,8272;13,4996;14,2246;13,6251;14,1052;14,231;1,55573;0,0200669;-0,496442;-2,88666;+
CELE_Y40B1A,3;"B5WWM0;E1NZ12;Q9XW27";Uncharacterized protein;13,3224;13,3233;13,1558;13,9415;12,2832;12,613;13,0245;13,4052;1,04594;0,0610301;0,604272;2,0195;
pals-37;"B6EU63;J7SEY3";Protein containing ALS2cr12 (ALS2CR12) domain;16,7302;16,1097;16,1813;15,5322;16,0128;14,1834;14,3424;15,1042;1,35014;0,030658;1,22763;2,53042;+
CELE_F59A2,2;B6VQ41;Uncharacterized protein;14,2548;13,7749;14,2605;14,4148;13,4879;12,923;12,6014;13,9026;1,5905;0,0182926;0,947515;2,94816;+
ptr-24;"B6VQ55;B6VQ56";PaTched Related family;16,4546;15,2917;16,1591;16,3991;14,9888;15,8907;15,1609;14,9482;1,26552;0,0373262;0,828962;2,38683;+
CELE_F11C1,5;"B6VQ59;Q19346;Q7JMA4";Uncharacterized protein;13,5519;13,1656;12,7553;13,242;13,8563;13,7526;13,804;13,6602;1,88347;0,00978708;-0,58959;-3,48407;+
CELE_Y43F8B,1;"B7FAR9;D9PTN8";Uncharacterized protein;18,3606;17,8679;17,8961;17,7207;17,3394;17,5604;17,5079;17,5419;1,73803;0,0126369;0,47391;3,21377;+
sam-10;B7FAS6;Single-stranded DNA-binding protein homolog sam-10;12,5398;12,7169;12,7857;12,5558;13,5386;13,2246;12,9363;13,7197;2,07191;0,00656174;-0,705243;-3,84857;+
dic-1;"B7WN63;H2KZC8";DICE1 (Deleted In Cancer) homolog;18,0828;17,6037;18,0075;17,787;17,8546;17,1036;17,0343;17,2746;1,37106;0,0290122;0,5535;2,56617;+
unc-68;"B7WN66;I2HAA6;I2HAA7;Q94279";Uncharacterized protein;13,3129;12,6644;13,2767;13,1083;12,8891;12,1874;12,9304;13,7018;0,186454;0,561461;0,163422;0,475946;
"CELE_T05H10,4;T05H10,4";"B7WN71;Q09348";"Uncharacterized protein;Uncharacterized protein T05H10,4";14,9103;15,3823;15,2194;15,5609;12,4766;14,5061;14,1411;13,2489;1,89891;0,00967251;1,67509;3,51328;+
CELE_M05D6,5;B7WN91;Uncharacterized protein;15,9185;16,0734;16,0548;15,9746;15,9202;16,2475;16,2376;16,2293;0,887115;0,0905605;-0,153315;-1,75559;
ctg-2;B7WN92;CRAL/TRIO and GOLD domain containing;14,406;14,3978;14,8199;13,9477;14,665;14,366;14,688;14,6547;0,468037;0,263221;-0,200575;-1,03544;
rpl-32;B7WN95;Ribosomal Protein, Large subunit;20,4185;20,3278;20,4358;20,2701;20,2913;20,7725;20,763;20,4365;0,795964;0,114477;-0,202763;-1,60339;
CELE_F37H8,3;"B7WNA1;O17860";Uncharacterized protein;13,9035;14,6082;13,983;13,7726;13,2514;14,3731;14,4148;14,4206;0,0492187;0,853638;-0,0481479;-0,14051;
clec-146;"B7WNB3;O18202";C-type LECtin;15,0847;15,1447;14,4015;14,9989;13,7803;13,9726;14,2816;13,9072;2,41963;0,00316567;0,921975;4,57134;+
tnt-3;"B9WRS6;H2KYL8";TropoNin T;16,4588;16,2426;16,2004;16,2984;16,6037;16,5545;17,15;16,465;1,264;0,0375226;-0,393229;-2,38426;+
mlt-11;"B9WRT9;C1P658;C1P659;H9G336";Uncharacterized protein;13,0696;12,8837;13,1357;13,3025;14,8865;13,5589;13,2435;13,6621;1,03073;0,0634117;-0,73986;-1,99422;
hrpu-1;B9WRU1;Heterogeneous nuclear RibonucleoProtein U;11,9291;14,4872;13,1592;12,62;13,3237;12,5824;12,4973;12,4141;0,240634;0,48531;0,344482;0,593375;
